"last_name, first_name","player_id","year","pitch_hand","arm_angle","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z_induced","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z_induced","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z_induced","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z_induced","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z_induced","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z_induced","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z_induced","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z_induced","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z_induced"
"Cease, Dylan",656302,2025,"R",50.6,"97","2539","-3.5","18.6","89","2746","1.4","3.3","77.3","1681","-8.5","17.9","81.5","2705","3.9","-15.7","96.3","2479","-10","15.9",,,,,,,,,"84.3","2897","12.8","-7.7",,,,
"Rasmussen, Drew",656876,2025,"R",55.1,"95.7","2489","-4.1","17.5",,,,,"89.2","1165","-9","8.3","80.5","2771","5.3","-11","95.4","2413","-14.3","13.4","90.4","2709","4.4","4.2",,,,,"84.7","2707","12","-1.5",,,,
"Martinez, Nick",607259,2025,"R",58.4,"92.5","2330","-5.3","18.2","84.6","2430","0.6","1.5","78.6","2011","-11.3","5.4","79.6","2589","2.2","-17.1","92.4","2316","-13","14.6","88.7","2365","2.5","11.1",,,,,,,,,,,,
"Gausman, Kevin",592332,2025,"R",36.4,"94.4","2273","-11.3","17.2","82.8","2384","1.9","0.6",,,,,,,,,"93.8","2269","-18.4","16.6",,,,,"85.2","1753","-16.1","4.3",,,,,,,,
"Heaney, Andrew",571760,2025,"L",24.8,"90.1","2377","16.1","12.9","80.5","2475","-3","-0.4","82","2115","17.3","5.2","75.5","2558","-9.9","-5.2","89.4","2360","18.8","3.1",,,,,,,,,,,,,,,,
"Kelly, Merrill",518876,2025,"R",23.7,"91.9","2356","-9.2","14.8","85.8","2359","2.4","3.3","88.4","2153","-15.1","0.2","81.9","2619","8.3","-10","92.4","2219","-16.5","6.2","90.7","2359","-2.8","11.9",,,,,,,,,,,,
"Hendricks, Kyle",543294,2025,"R",43.4,"86.6","2051","-5.8","14.6",,,,,"79.3","2095","-10.6","8.7","71.9","2834","15.6","-11.2","86.2","1981","-14.2","7.4",,,,,,,,,,,,,,,,
"Littell, Zack",641793,2025,"R",39.3,"92","2010","-7","16.1","87.3","2199","1.6","7.3",,,,,,,,,"91.4","2043","-13.9","12.6",,,,,"83.4","1086","-11.4","-0.9","79.8","2176","11.7","-3.7",,,,
"Sale, Chris",519242,2025,"L",8.2,"94.9","2250","14.9","9.1","79.2","2328","-10.1","-2.8","86.4","1793","15.8","-0.8",,,,,"93.9","2088","17.9","1.2",,,,,,,,,,,,,,,,
"Ryan, Joe",657746,2025,"R",24.7,"93.4","2264","-12.7","13.7","87.5","2324","0.2","6.5",,,,,"78.8","2813","13.4","-10.7","93.1","2111","-17","8.5",,,,,"87.5","1995","-14.9","0.4","80.5","2783","16.4","0.3",,,,
"Woods Richardson, Simeon",680573,2025,"R",46.8,"93.3","2256","-5.4","18.6","85.3","2307","5.3","5.9","83.2","2314","-15.7","11.1","77.6","2586","6.2","-14.1",,,,,,,,,"86.5","1067","-8.5","7.9",,,,,,,,
"Skubal, Tarik",669373,2025,"L",49.8,"97.6","2330","3.8","17.1","89.6","2222","-3.4","4.8","88.2","1840","15.1","6.9","81.1","2484","-4.8","-5.6","97.3","2242","13.3","13.8",,,,,,,,,,,,,,,,
