"last_name, first_name","player_id","year","pitch_hand","arm_angle","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z_induced","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z_induced","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z_induced","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z_induced","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z_induced","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z_induced","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z_induced","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z_induced","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z_induced"
"Schmidt, Clarke",657376,2025,"R",35.2,"94.2","2610","-5.3","15.8","85.3","3037","8.9","4.5",,,,,"85","3112","9.3","-13.8","92.6","2603","-12.2","4","92.2","2745","1.1","9.5",,,,,"83.1","3144","16.7","-1.3",,,,
"Springs, Jeffrey",605488,2025,"L",43,"90.5","2162","11.4","15.9","83.5","2214","-4","2.8","79.4","1398","12.6","6.8",,,,,,,,,"86.7","2182","1.6","9.3",,,,,"76.2","2314","-15.1","1.1",,,,
"Gray, Sonny",543243,2025,"R",47.7,"91.7","2496","1.5","10.5","84.7","2603","5.2","0.2","86.5","1877","-13.5","6.4","80.1","2579","12.8","-13.9","92.2","2375","-10.3","8.6","88.2","2637","4.9","3.4",,,,,"85","2666","15.4","-4",,,,
"Márquez, Germán",608566,2025,"R",40.7,"95.2","2211","-9.6","14.2","88.9","2337","0","5.9","89.1","1662","-12.3","8.9","85.7","2673","2.2","-1.5","94.6","2158","-14.4","10.8",,,,,,,,,,,,,,,,
"Bibee, Tanner",676440,2025,"R",53.6,"94.5","2248","-5.4","14.7",,,,,"81.8","1960","-13.5","11.6","79.7","2674","10.4","-8.5","94.2","2214","-14.3","9.2","85.8","2681","8","3.5",,,,,"83.1","2687","15.9","-1.6",,,,
"Burke, Sean",680732,2025,"R",42.4,"94.1","2550","-4.7","18.6","86.5","2522","5.4","4.9","85.2","1820","-14.9","9.1","79.2","2564","6.4","-15.2","93.7","2403","-13.2","15.4",,,,,,,,,,,,,,,,
"Cannon, Jonathan",686563,2025,"R",26.3,"93.4","2245","-8.2","14.9",,,,,"85.4","1817","-15.3","1.4",,,,,"92.8","2156","-14.9","4.7","89.3","2303","0.6","9.5",,,,,"81.3","2614","15.4","2.8",,,,
"Luzardo, Jesús",666200,2025,"L",33.7,"96.4","2226","11.7","14.1","86.5","2384","-0.1","0.8","87.9","1932","16.4","7.3",,,,,"95.8","2231","17","8.6",,,,,,,,,"85.8","2234","-8.9","0.4",,,,
"Ray, Robbie",592662,2025,"L",45.7,"93.7","2372","8.3","18.3","88.2","2282","0.9","9","85.1","1668","11.3","11.6","81.6","2205","-1.5","-5.3",,,,,,,,,,,,,,,,,,,,
"Priester, Quinn",682990,2025,"R",47.4,"94.9","2036","-1.7","4.6","86","2469","4.4","-0.6","88.4","1417","-13.1","4.5","80.6","2679","5.3","-9.6","93.7","2042","-14.5","7.6","92.3","2337","0.9","11.6",,,,,,,,,,,,
"Lugo, Seth",607625,2025,"R",31.9,"91.8","2353","-7.1","15.5","83.6","2601","5.5","4.9","86.3","1681","-14.8","4.5","77.2","3063","14.6","-11.2","91.2","2404","-15.6","9","89.4","2451","1.4","11.1","84.9","1461","-9.4","3.8","81.1","2757","13.4","2.4","79.4","2926","15.6","-4.2"
"Ober, Bailey",641927,2025,"R",33.2,"90.4","2277","-8","17.1","83.4","2017","4.3","5.3","83.4","2004","-18.1","6","75.6","2083","7","-8","90.6","2096","-14.2","11",,,,,,,,,"78.9","2016","11.4","1.1",,,,
"Buehler, Walker",621111,2025,"R",42.1,"94.1","2284","-6","17","87.8","2539","8.3","3.3","90","1631","-16.2","5.8","77.8","2465","11.3","-14.9","93.9","2146","-15.5","10.9","90.6","2439","4.3","11",,,,,"80.8","2745","17","1.1",,,,
"Hancock, Emerson",676106,2025,"R",19.3,"94.7","2390","-12.8","11.9","81.8","2444","5.7","-2.1","86.2","1653","-16.3","1.7",,,,,"94.5","2382","-18.9","5.8",,,,,,,,,"79.3","2626","13","3.3",,,,
"Kikuchi, Yusei",579328,2025,"L",34.9,"94.8","2190","10.2","15.5","87.5","2248","-2.3","5.1","85.7","1507","13.8","5.8","80.4","2480","-6","-5.1","92.8","2179","14.6","9.6",,,,,,,,,"80.8","2389","-13.9","2.7",,,,
"Nelson, Ryne",669194,2025,"R",51.8,"95.6","2269","-3.8","19.4","86","2451","5.3","-0.7","86.8","1800","-13.3","12.7","80.7","2508","7.8","-7.5",,,,,"90.6","2225","3","6.6",,,,,,,,,,,,
"Patrick, Chad",694477,2025,"R",34.4,"94.1","2328","-6.8","16.7","84.2","2441","8.5","5.5","88.5","1960","-12","3.9",,,,,"93.8","2189","-15.2","11.4","87.7","2397","4.3","12.2",,,,,,,,,,,,
